"win","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist"
FALSE,5,10,3,3,1,1,447,0,0,0,0,0,44177,31232,10282,2662,0,9906,6827,1726,1352,10952,1,0,0,0,0,0,27928,7382,16237,4308,7224,6875,0,0,13,21,12,9,266,11,0,0,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,12,12,9,4,2,4,491,3,0,0,0,0,148728,6603,133024,9100,60,31355,3077,26881,1396,13919,1,0,0,0,0,0,40280,9832,29365,1082,13802,13425,0,0,72,39,18,21,556,17,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,7,4,4,6,2,1,223,1,0,0,0,0,40141,31635,8505,0,0,13951,12598,1352,0,379,1,0,0,0,0,0,7623,3295,4258,70,7793,5700,0,0,32,0,0,0,145,11,0,0,6,0,FALSE,FALSE,FALSE,FALSE,NA,NA
FALSE,18,15,7,4,1,4,470,0,0,0,0,0,107088,89435,12724,4928,1021,43613,39365,2262,1986,11072,1,17633,4183,497,21,26,44336,23136,19908,1291,14848,13750,0,0,56,40,27,0,267,17,1,0,10,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,16,7,11,5,2,4,588,2,0,0,0,0,188821,43617,131522,13682,0,29039,9749,18022,1268,23091,1,0,0,0,0,0,45621,13195,32295,130,16247,15320,1,1,84,59,42,17,5588,17,0,0,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,11,9,13,6,1,3,560,0,0,0,0,0,205461,49211,153305,2944,0,44970,12702,29323,2944,1569,1,0,0,0,0,0,59829,9730,45452,4645,16222,15900,2,0,244,0,0,0,135,18,0,0,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FALSE,6,9,8,2,2,1,862,1,0,0,0,0,140434,53901,78739,7794,0,20120,11308,7328,1484,19634,1,0,0,0,0,0,50096,19639,29323,1133,12127,10075,0,0,56,75,30,45,4668,16,0,0,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,5,11,24,2,1,2,609,0,0,0,0,0,116589,98582,17481,525,0,31249,28586,2408,255,2632,1,0,0,0,0,0,25053,13213,11611,228,17331,15950,3,0,64,1,1,0,309,18,0,0,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TRUE,7,4,6,4,1,2,524,0,0,0,0,0,61989,43224,16188,2577,0,12556,10320,1678,558,1013,1,4871,7370,3163,6,24,10317,4658,5522,136,9137,7350,3,0,77,7,0,6,88,11,0,0,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
FALSE,2,4,0,2,1,1,315,0,0,0,0,0,18911,13488,3733,1689,0,5944,4869,955,119,0,0,2075,826,342,8,25,5149,941,4207,0,4234,3685,0,0,19,1,1,0,75,8,0,0,5,1,FALSE,FALSE,FALSE,FALSE,NA,NA
